Primary Sponsor,Agreement Type,On Off Campus Status,No Accts,Graduate Students,Other Salaries,Employee Benefits,Operating Expenses,Indirect Expenses,FYTD Amount
000135 ARO-ISN UARC,Total by Primary Sponsor,,"1,825","1,305,963","2,090,468","726,333","3,791,513","2,972,728","10,887,005"
000136 DOD-CDMRP (USE FOR PROPOSALS ONLY),Contracts,On Campus,3,,,,"2,904","1,626","4,530"
000136 DOD-CDMRP (USE FOR PROPOSALS ONLY),Total by Primary Sponsor,,3,,,,"2,904","1,626","4,530"
000140 Navy - Miscellaneous,Contracts,On Campus,53,"92,004","133,192","41,265","81,118","146,248","493,826"
000140 Navy - Miscellaneous,Total by Primary Sponsor,,53,"92,004","133,192","41,265","81,118","146,248","493,826"
000146 Navy - ONR,Contracts,On Campus,153,"258,931","358,358","117,822","407,893","544,468","1,687,472"
000146 Navy - ONR,Grants,On Campus,"2,062","2,279,626","4,015,939","1,292,946","10,668,827","5,877,863","24,135,202"
000146 Navy - ONR,Total by Primary Sponsor,,"2,215","2,538,557","4,374,297","1,410,769","11,076,720","6,422,331","25,822,674"
000148 Navy (NAVAIR),Contracts,On Campus,8,"1,420",-63,-18,335,"1,008","2,683"
000148 Navy (NAVAIR),Total by Primary Sponsor,,8,"1,420",-63,-18,335,"1,008","2,683"
000150 Naval Research Laboratory,Grants,On Campus,9,"4,310","40,930","13,454","6,703","34,944","100,341"
000150 Naval Research Laboratory,Total by Primary Sponsor,,9,"4,310","40,930","13,454","6,703","34,944","100,341"
"000151 Space and Naval Warfare Systems
Center",Contracts,On Campus,92,"177,664","440,873","152,395","638,305","659,752","2,068,989"
"000151 Space and Naval Warfare Systems
Center",Grants,On Campus,201,"340,042","385,933","128,110","1,816,218","746,429","3,416,733"
"000151 Space and Naval Warfare Systems
Center",Total by Primary Sponsor,,293,"517,706","826,807","280,505","2,454,523","1,406,181","5,485,721"
000155 Naval Surface Warfare Center,Contracts,On Campus,8,0,"4,301","1,246","13,424","10,565","29,534"
000155 Naval Surface Warfare Center,Total by Primary Sponsor,,8,0,"4,301","1,246","13,424","10,565","29,534"
000158 Naval Undersea Warfare Center,Contracts,On Campus,5,,"8,375","3,057",60,"6,402","17,894"
000158 Naval Undersea Warfare Center,Total by Primary Sponsor,,5,,"8,375","3,057",60,"6,402","17,894"
000159 Navy Non-Pool,Contracts,Off Campus,18,,"96,478","31,290","131,837","9,424","269,029"
000159 Navy Non-Pool,Total by Primary Sponsor,,18,,"96,478","31,290","131,837","9,424","269,029"
"000160 Defense Advanced Research Projects
Agency",Contracts,On Campus,722,"960,090","1,960,276","674,668","6,590,091","3,683,455","13,868,579"
"000160 Defense Advanced Research Projects
Agency",Grants,On Campus,435,"558,546","1,294,697","446,427","4,798,213","1,951,926","9,049,809"
"000160 Defense Advanced Research Projects
Agency",Total by Primary Sponsor,,"1,157","1,518,636","3,254,972","1,121,095","11,388,305","5,635,380","22,918,388"
000162 Department of Homeland Security,Contracts,On Campus,82,"80,070","158,014","54,370","135,809","212,085","640,347"
000162 Department of Homeland Security,Total by Primary Sponsor,,82,"80,070","158,014","54,370","135,809","212,085","640,347"
000163 Defense Threat Reduction Agency,Contracts,On Campus,104,"9,485","59,704","21,107","17,895","50,057","158,248"
000163 Defense Threat Reduction Agency,Grants,On Campus,78,"184,482","188,595","63,808","1,252,561","404,919","2,094,365"
000163 Defense Threat Reduction Agency,Total by Primary Sponsor,,182,"193,967","248,299","84,915","1,270,455","454,976","2,252,613"
"000164 Strategic Environmental Research and
Development Program",Contracts,On Campus,1,,,,,,0
"000164 Strategic Environmental Research and
Development Program",Total by Primary Sponsor,,1,,,,,,0
000171 Army Contracting Command - Redstone,Grants,On Campus,27,"15,395","54,240","19,282","222,511","67,364","378,793"
000171 Army Contracting Command - Redstone,Total by Primary Sponsor,,27,"15,395","54,240","19,282","222,511","67,364","378,793"
000190 Department of Defense - Miscellaneous,Contracts,On Campus,57,"12,993","88,931","32,371","13,689","74,293","222,278"
000190 Department of Defense - Miscellaneous,Total by Primary Sponsor,,57,"12,993","88,931","32,371","13,689","74,293","222,278"
000191 DOD - Miscellaneous - Non Pool,Contracts,On Campus,12,,"22,228","8,113","51,957","50,631","132,929"
000191 DOD - Miscellaneous - Non Pool,Total by Primary Sponsor,,12,,"22,228","8,113","51,957","50,631","132,929"
000200 DOE - Chicago,Contracts,Off Campus,33,"37,305","404,417","80,838","225,334","23,098","770,993"
000200 DOE - Chicago,Contracts,On Campus,399,"411,750","1,389,162","485,282","1,132,390","1,660,053","5,078,638"
000200 DOE - Chicago,Grants,Off Campus,830,"503,519","3,862,616","1,100,017","2,251,899","522,121","8,240,172"
000200 DOE - Chicago,Grants,On Campus,"3,866","4,015,859","15,042,329","5,238,961","14,978,332","15,978,251","55,253,732"
000200 DOE - Chicago,Total by Primary Sponsor,,"5,128","4,968,433","20,698,525","6,905,098","18,587,955","18,183,524","69,343,535"
000202 DOE - Chicago - Equipment,Grants,On Campus,144,,0,0,"-14,318",0,"-14,318"
000202 DOE - Chicago - Equipment,Total by Primary Sponsor,,144,,0,0,"-14,318",0,"-14,318"
000206 DOE - Non Letter of Credit,Contracts,Off Campus,6,,"10,717",911,,"6,761","18,389"
000206 DOE - Non Letter of Credit,Total by Primary Sponsor,,6,,"10,717",911,,"6,761","18,389"
000209 DOE/NNSA/ALB,Contracts,Off Campus,18,"32,500","30,153","10,395","27,404","2,036","102,488"
000209 DOE/NNSA/ALB,Contracts,On Campus,189,"181,036","715,104","235,586","267,920","708,330","2,107,977"
000209 DOE/NNSA/ALB,Grants,Off Campus,35,"21,298","263,291","91,628","406,284","58,260","840,762"
000209 DOE/NNSA/ALB,Grants,On Campus,1,,,,,,0
000209 DOE/NNSA/ALB,Total by Primary Sponsor,,243,"234,835","1,008,548","337,610","701,608","768,627","3,051,227"
000211 DOE - Morgantown,Grants,On Campus,6,,"3,709","1,085",0,"3,236","8,030"
000211 DOE - Morgantown,Total by Primary Sponsor,,6,,"3,709","1,085",0,"3,236","8,030"
000212 DOE - Idaho Falls,Contracts,On Campus,183,"448,014","673,072","234,404","1,925,681","1,002,084","4,283,255"
000212 DOE - Idaho Falls,Grants,On Campus,7,,,,"256,217",-456,"255,761"
000212 DOE - Idaho Falls,Total by Primary Sponsor,,190,"448,014","673,072","234,404","2,181,898","1,001,628","4,539,016"
000213 DOE - Oak Ridge,Contracts,On Campus,183,"308,377","174,024","56,213","343,638","352,121","1,234,372"
000213 DOE - Oak Ridge,Total by Primary Sponsor,,183,"308,377","174,024","56,213","343,638","352,121","1,234,372"
000216 DOE-Golden Colorado,Contracts,On Campus,120,"235,040","261,221","90,611","284,172","371,777","1,242,821"
000216 DOE-Golden Colorado,Grants,On Campus,101,"311,421","408,567","137,768","1,186,185","668,236","2,712,177"
000216 DOE-Golden Colorado,Total by Primary Sponsor,,221,"546,461","669,788","228,379","1,470,357","1,040,013","3,954,998"
000220 DOE-NETL,Contracts,On Campus,11,"21,915","56,760","20,717","23,380","67,110","189,882"
000220 DOE-NETL,Grants,On Campus,95,"219,509","292,146","83,771","257,337","394,097","1,246,859"
000220 DOE-NETL,Total by Primary Sponsor,,106,"241,424","348,906","104,488","280,716","461,207","1,436,741"
000221 DOE - Office of ARPA-E,Grants,On Campus,294,"384,596","808,230","285,883","2,108,038","1,173,099","4,759,845"
000221 DOE - Office of ARPA-E,Total by Primary Sponsor,,294,"384,596","808,230","285,883","2,108,038","1,173,099","4,759,845"
000222 DOE/NNSA/Washington,Contracts,On Campus,8,0,"3,043","1,111","3,746","4,424","12,324"
000222 DOE/NNSA/Washington,Total by Primary Sponsor,,8,0,"3,043","1,111","3,746","4,424","12,324"
000223 DOE - Office of Fossil Energy,Grants,On Campus,6,"5,328",0,0,"3,461","4,772","13,561"
000223 DOE - Office of Fossil Energy,Total by Primary Sponsor,,6,"5,328",0,0,"3,461","4,772","13,561"
"000225 DOE - U.S. Energy Information
Administration",Grants,On Campus,7,,"34,010","11,546","14,018","33,361","92,935"
"000225 DOE - U.S. Energy Information
Administration",Total by Primary Sponsor,,7,,"34,010","11,546","14,018","33,361","92,935"
"000302 Centers for Disease Control and
Prevention",Grants,On Campus,8,311,"19,189","5,373","1,053","14,371","40,296"
"000302 Centers for Disease Control and
Prevention",Total by Primary Sponsor,,8,311,"19,189","5,373","1,053","14,371","40,296"
000340 NIH,Contracts,Off Campus,2,,,,"1,729",,"1,729"
000340 NIH,Contracts,On Campus,210,"281,938","922,558","323,656","849,037","1,246,341","3,623,529"
000340 NIH,Grants,Off Campus,17,0,"70,269","23,989",531,"5,862","100,651"
000340 NIH,Grants,On Campus,"5,717","5,763,231","22,251,560","7,726,353","41,439,585","33,674,731","110,855,460"
000340 NIH,Total by Primary Sponsor,,"5,946","6,045,169","23,244,387","8,073,998","42,290,882","34,926,933","114,581,370"
000360 DHHS - Miscellaneous,Contracts,On Campus,8,"45,056","3,065","1,119","50,539","25,558","125,336"
000360 DHHS - Miscellaneous,Grants,On Campus,13,"7,478","35,233","12,860","6,400","33,964","95,935"
000360 DHHS - Miscellaneous,Total by Primary Sponsor,,21,"52,534","38,298","13,979","56,939","59,522","221,270"
000400 NASA - Washington (USE FOR PROPOSALS ONLY),Contracts,On Campus,171,"69,951","320,694","107,585","220,674","337,990","1,056,895"
000400 NASA - Washington (USE FOR PROPOSALS ONLY),Grants,On Campus,82,"38,255","225,918","78,757","78,790","209,942","631,662"
000400 NASA - Washington (USE FOR PROPOSALS ONLY),Total by Primary Sponsor,,253,"108,206","546,613","186,342","299,464","547,932","1,688,557"
000410 NASA - Marshall Space Flight Cente,Contracts,On Campus,103,"87,566","1,735,736","621,275","1,341,881","1,700,598","5,487,056"
000410 NASA - Marshall Space Flight Cente,Grants,Off Campus,8,,"3,192","1,076",511,155,"4,934"
000410 NASA - Marshall Space Flight Cente,Grants,On Campus,271,"30,528","173,857","60,477","88,407","182,198","535,467"
000410 NASA - Marshall Space Flight Cente,Total by Primary Sponsor,,382,"118,093","1,912,786","682,829","1,430,799","1,882,951","6,027,458"
000411 NASA - Johnson Space Center,Contracts,On Campus,6,"2,664",0,0,"4,434","2,840","9,938"
000411 NASA - Johnson Space Center,Grants,On Campus,50,"125,095","177,731","46,943","306,922","292,302","948,993"
000411 NASA - Johnson Space Center,Total by Primary Sponsor,,56,"127,759","177,731","46,943","311,357","295,141","958,931"
000413 NASA Shared Services Center,Contracts,On Campus,22,"17,455","131,983","45,953","20,929","118,273","334,593"
000413 NASA Shared Services Center,Grants,On Campus,44,"123,025","35,196","11,356","157,517","111,579","438,673"
000413 NASA Shared Services Center,Total by Primary Sponsor,,66,"140,479","167,179","57,309","178,447","229,852","773,267"
000420 NASA - Goddard Space Flight Cente,Contracts,Off Campus,28,,"1,375,913","461,122","439,743","96,896","2,373,674"
000420 NASA - Goddard Space Flight Cente,Contracts,On Campus,249,"76,456","1,357,392","489,792","2,162,911","1,219,215","5,305,766"
000420 NASA - Goddard Space Flight Cente,Grants,Off Campus,14,,"102,675","34,846","22,107","4,030","163,657"
000420 NASA - Goddard Space Flight Cente,Grants,On Campus,635,"550,421","2,166,361","743,443","3,467,458","2,272,058","9,199,741"
000420 NASA - Goddard Space Flight Cente,Total by Primary Sponsor,,926,"626,876","5,002,341","1,729,203","6,092,218","3,592,199","17,042,837"
000429 NASA - Ames University Consortium,Contracts,Off Campus,3,,,,0,0,0
000429 NASA - Ames University Consortium,Contracts,On Campus,16,0,"51,296","18,213",800,"38,984","109,292"
000429 NASA - Ames University Consortium,Total by Primary Sponsor,,19,0,"51,296","18,213",800,"38,984","109,292"
000430 NASA - Ames Research Center,Contracts,On Campus,19,"25,286","5,983","1,026","40,473","33,796","106,563"
000430 NASA - Ames Research Center,Grants,On Campus,125,"122,490","510,238","168,618","1,410,667","651,145","2,863,159"
000430 NASA - Ames Research Center,Total by Primary Sponsor,,144,"147,777","516,222","169,644","1,451,140","684,941","2,969,723"
000431 NASA - Langley Research Center,Contracts,On Campus,35,"148,716","152,258","49,513","428,299","280,419","1,059,205"
000431 NASA - Langley Research Center,Grants,On Campus,17,"21,152","49,833","15,094","8,301","34,024","128,404"
000431 NASA - Langley Research Center,Total by Primary Sponsor,,52,"169,868","202,090","64,607","436,600","314,444","1,187,610"
000432 NASA - Glenn Research Center,Grants,On Campus,22,"55,726","83,709","23,939","1,104,536","192,914","1,460,823"
000432 NASA - Glenn Research Center,Total by Primary Sponsor,,22,"55,726","83,709","23,939","1,104,536","192,914","1,460,823"
000439 NASA - Kennedy Space Center,Contracts,On Campus,7,"18,406","24,281","8,644","20,088","32,066","103,484"
000439 NASA - Kennedy Space Center,Total by Primary Sponsor,,7,"18,406","24,281","8,644","20,088","32,066","103,484"
000500 NSF,Contracts,Off Campus,7,,"13,588","4,620","2,196",733,"21,138"
000500 NSF,Contracts,On Campus,302,"465,400","492,676","165,968","937,615","1,012,972","3,074,632"
000500 NSF,Grants,Off Campus,251,"53,338","2,243,880","743,818","1,583,462","213,945","4,838,444"
000500 NSF,Grants,On Campus,"5,453","8,306,306","14,688,447","4,795,925","22,820,673","20,433,141","71,044,492"
000500 NSF,Total by Primary Sponsor,,"6,013","8,825,045","17,438,592","5,710,331","25,343,946","21,660,791","78,978,705"
000600 U.S. Department of Agriculture,Grants,On Campus,7,,"3,059",972,-99,"2,258","6,190"
000600 U.S. Department of Agriculture,Total by Primary Sponsor,,7,,"3,059",972,-99,"2,258","6,190"
000607 U.S. Department of Commerce-NIST (Natl Inst of Stand & Tech),Grants,On Campus,17,"10,656","32,237","10,088","61,989","33,935","148,905"
000607 U.S. Department of Commerce-NIST (Natl Inst of Stand & Tech),Total by Primary Sponsor,,17,"10,656","32,237","10,088","61,989","33,935","148,905"
000609 US Dept. of Commerce - Economic Dev. Admin.,Grants,On Campus,7,"33,120","46,214","8,784","41,986","73,237","203,341"
000609 US Dept. of Commerce - Economic Dev. Admin.,Total by Primary Sponsor,,7,"33,120","46,214","8,784","41,986","73,237","203,341"
000610 U.S. Department of Commerce - NOAA,Contracts,On Campus,5,"48,856","5,000",,"50,664","30,583","135,104"
000610 U.S. Department of Commerce - NOAA,Grants,On Campus,377,"106,402","642,920","222,483","840,875","644,208","2,456,888"
000610 U.S. Department of Commerce - NOAA,Total by Primary Sponsor,,382,"155,258","647,920","222,483","891,539","674,792","2,591,992"
000618 U.S. Department of Education,Contracts,On Campus,11,,"313,249","110,770","6,557","147,611","578,188"
000618 U.S. Department of Education,Grants,On Campus,1,,,,,,0
000618 U.S. Department of Education,Total by Primary Sponsor,,12,,"313,249","110,770","6,557","147,611","578,188"
000634 U.S. Environmental Protection Agency,Contracts,On Campus,10,"11,256","16,309","5,953","20,783","23,621","77,922"
000634 U.S. Environmental Protection Agency,Grants,On Campus,58,"68,197","296,373","104,902","391,527","343,455","1,204,454"
000634 U.S. Environmental Protection Agency,Total by Primary Sponsor,,68,"79,453","312,682","110,855","412,310","367,075","1,282,375"
000642 Institute of Museum and Library Services,Contracts,On Campus,5,,"4,603","1,680","1,653","4,444","12,379"
000642 Institute of Museum and Library Services,Grants,On Campus,9,,"4,151","1,515",0,"3,173","8,839"
000642 Institute of Museum and Library Services,Total by Primary Sponsor,,14,,"8,753","3,195","1,653","7,617","21,218"
000648 U.S. Department of Interior-Fort Huachuca,Contracts,On Campus,8,"26,785","11,535","1,891","22,932","25,130","88,272"
000648 U.S. Department of Interior-Fort Huachuca,Grants,On Campus,75,"118,900","438,959","150,353","554,762","558,500","1,821,474"
000648 U.S. Department of Interior-Fort Huachuca,Total by Primary Sponsor,,83,"145,685","450,494","152,244","577,694","583,630","1,909,746"
000654 U.S. National Security Agency/Maryland Procurement Office,Grants,On Campus,5,,"19,800","4,950","2,322","2,414","29,486"
000654 U.S. National Security Agency/Maryland Procurement Office,Total by Primary Sponsor,,5,,"19,800","4,950","2,322","2,414","29,486"
000656 Food and Drug Administration,Contracts,On Campus,32,"17,934","70,036","21,386","46,554","75,719","231,628"
000656 Food and Drug Administration,Total by Primary Sponsor,,32,"17,934","70,036","21,386","46,554","75,719","231,628"
000674 Intelligence Advanced Research Projects Activity (IARPA),Contracts,On Campus,128,"114,978","458,607","162,795","535,166","616,198","1,887,743"
000674 Intelligence Advanced Research Projects Activity (IARPA),Total by Primary Sponsor,,128,"114,978","458,607","162,795","535,166","616,198","1,887,743"
000680 U.S. Department.of Transportation,Contracts,On Campus,6,,"28,714","10,198",0,"23,542","62,454"
000680 U.S. Department.of Transportation,Grants,On Campus,196,"128,013","148,695","49,098","1,781,732","241,611","2,349,149"
000680 U.S. Department.of Transportation,Total by Primary Sponsor,,202,"128,013","177,410","59,296","1,781,732","265,153","2,411,603"
"000682 US DOT - Federal Aviation
Administration",Contracts,On Campus,45,"79,300","35,156","6,583","112,834","77,274","311,146"
"000682 US DOT - Federal Aviation
Administration",Grants,On Campus,167,"369,472","388,481","128,615","428,001","589,692","1,904,261"
"000682 US DOT - Federal Aviation
Administration",Total by Primary Sponsor,,212,"448,772","423,636","135,198","540,835","666,966","2,215,408"
000683 U.S. Department of Transportation TSC,Contracts,Off Campus,40,"16,629","2,760",535,"12,799","1,152","33,875"
000683 U.S. Department of Transportation TSC,Contracts,On Campus,12,"46,886","42,424","15,485","34,013","65,634","204,442"
000683 U.S. Department of Transportation TSC,Total by Primary Sponsor,,52,"63,515","45,184","16,020","46,813","66,786","238,317"
000686 U.S. DOT-Federal Railroad Administration,Contracts,On Campus,7,"2,435","93,815","25,642","17,799","77,045","216,737"
000686 U.S. DOT-Federal Railroad Administration,Total by Primary Sponsor,,7,"2,435","93,815","25,642","17,799","77,045","216,737"
000688 U.S. Geological Survey,Grants,On Campus,11,,"10,857","3,963","1,195","9,494","25,509"
000688 U.S. Geological Survey,Total by Primary Sponsor,,11,,"10,857","3,963","1,195","9,494","25,509"
000699 U.S. Agency for International Development,Grants,On Campus,42,"233,787","354,993","119,488","411,505","520,022","1,639,795"
000699 U.S. Agency for International Development,Total by Primary Sponsor,,42,"233,787","354,993","119,488","411,505","520,022","1,639,795"
000701 US Dept of Interior-Bureau of Safety Env. Enforcement,Grants,On Campus,4,,"2,590",725,,663,"3,978"
000701 US Dept of Interior-Bureau of Safety Env. Enforcement,Total by Primary Sponsor,,4,,"2,590",725,,663,"3,978"
"000702 NAVSUP Fleet Logistics Center, San Diego",Grants,On Campus,8,"4,870","7,039","2,569","-1,991","8,490","20,978"
"000702 NAVSUP Fleet Logistics Center, San Diego",Total by Primary Sponsor,,8,"4,870","7,039","2,569","-1,991","8,490","20,978"
000753 The Institute of Physical and Chemical Research (RIKEN),Contracts,On Campus,35,"80,241","1,545,630","564,155","4,017,977","2,822,305","9,030,308"
000753 The Institute of Physical and Chemical Research (RIKEN),Total by Primary Sponsor,,35,"80,241","1,545,630","564,155","4,017,977","2,822,305","9,030,308"
000780 U.S. Veterans Administration,Contracts,On Campus,44,"84,172","32,704","11,937","514,499","115,860","759,172"
000780 U.S. Veterans Administration,Total by Primary Sponsor,,44,"84,172","32,704","11,937","514,499","115,860","759,172"
000790 U.S. Miscellaneous Agencies,Grants,On Campus,5,,0,0,221,177,397
000790 U.S. Miscellaneous Agencies,Total by Primary Sponsor,,5,,0,0,221,177,397
000810 National Endowment For The Humanities,Grants,On Campus,16,,"71,170","18,490","10,100","57,959","157,718"
000810 National Endowment For The Humanities,Total by Primary Sponsor,,16,,"71,170","18,490","10,100","57,959","157,718"
000841 National Reconnaissance Office,Contracts,On Campus,14,"95,034","32,312","9,140","162,030","124,852","423,367"
000841 National Reconnaissance Office,Total by Primary Sponsor,,14,"95,034","32,312","9,140","162,030","124,852","423,367"
000851 National Institute of Justice,Grants,On Campus,44,"31,153","96,272","31,301","299,101","82,292","540,118"
000851 National Institute of Justice,Total by Primary Sponsor,,44,"31,153","96,272","31,301","299,101","82,292","540,118"
000860 U.S. Nuclear Regulatory Commission,Grants,On Campus,5,,"16,750","6,114","2,107","15,107","40,078"
000860 U.S. Nuclear Regulatory Commission,Total by Primary Sponsor,,5,,"16,750","6,114","2,107","15,107","40,078"
001007 Massachusetts Water Resources Authority,Contracts,On Campus,6,,"6,642","2,281",,"1,048","9,971"
001007 Massachusetts Water Resources Authority,Total by Primary Sponsor,,6,,"6,642","2,281",,"1,048","9,971"
001010 Commonwealth of Massachusetts - Miscellaneous,Contracts,On Campus,6,,"8,565",162,"13,816","12,624","35,166"
001010 Commonwealth of Massachusetts - Miscellaneous,Total by Primary Sponsor,,6,,"8,565",162,"13,816","12,624","35,166"
001012 Massachusetts Bay Transportation Authority,Contracts,On Campus,11,"-6,210","-22,443","-6,822","-7,141","-15,265","-57,881"
001012 Massachusetts Bay Transportation Authority,Total by Primary Sponsor,,11,"-6,210","-22,443","-6,822","-7,141","-15,265","-57,881"
001030 State of New York,Contracts,On Campus,7,,"17,861","6,519","15,496","20,124","60,000"
001030 State of New York,Total by Primary Sponsor,,7,,"17,861","6,519","15,496","20,124","60,000"
"001079 California Environmental Protection
Agency",Contracts,On Campus,3,,,,"1,160",649,"1,809"
"001079 California Environmental Protection
Agency",Total by Primary Sponsor,,3,,,,"1,160",649,"1,809"
001089 Government of Aragon (Spain),Contracts,On Campus,172,"62,004","612,456","208,622","524,899","573,614","1,981,595"
001089 Government of Aragon (Spain),Total by Primary Sponsor,,172,"62,004","612,456","208,622","524,899","573,614","1,981,595"
"001095 Deutsches Elektronen-Synchrotron
(DESY)",Contracts,On Campus,28,"114,653","190,642","66,239","220,791","139,413","731,739"
"001095 Deutsches Elektronen-Synchrotron
(DESY)",Total by Primary Sponsor,,28,"114,653","190,642","66,239","220,791","139,413","731,739"
"001100 Defense Science & Technology
Agency",Contracts,On Campus,19,"23,720","54,392","16,928","39,981","67,348","202,369"
"001100 Defense Science & Technology
Agency",Total by Primary Sponsor,,19,"23,720","54,392","16,928","39,981","67,348","202,369"
001104 King Abdulaziz City for Science & Technology (KACST),Contracts,On Campus,86,"184,369","517,610","178,671","442,746","633,350","1,956,747"
001104 King Abdulaziz City for Science & Technology (KACST),Total by Primary Sponsor,,86,"184,369","517,610","178,671","442,746","633,350","1,956,747"
"001131 Massachusetts Technology Transfer
Center",Contracts,On Campus,3,,,,919,515,"1,434"
"001131 Massachusetts Technology Transfer
Center",Total by Primary Sponsor,,3,,,,919,515,"1,434"
001139 National Research Foundation,Contracts,On Campus,867,"1,679,674","1,580,318","511,035","2,206,286","2,476,870","8,454,183"
001139 National Research Foundation,Grants,On Campus,1,,,,,,0
001139 National Research Foundation,Total by Primary Sponsor,,868,"1,679,674","1,580,318","511,035","2,206,286","2,476,870","8,454,183"
001140 Malaysian Palm Oil Board,Contracts,On Campus,10,"19,261","293,410","101,375","144,766","300,729","859,541"
001140 Malaysian Palm Oil Board,Total by Primary Sponsor,,10,"19,261","293,410","101,375","144,766","300,729","859,541"
001143 SIRIM Berhad,Contracts,On Campus,10,0,"8,917","3,165","-1,066","8,216","19,231"
001143 SIRIM Berhad,Total by Primary Sponsor,,10,0,"8,917","3,165","-1,066","8,216","19,231"
001149 Rwanda Ministry of Education,Contracts,On Campus,9,"5,395","40,570","14,349","26,490","30,446","117,251"
001149 Rwanda Ministry of Education,Total by Primary Sponsor,,9,"5,395","40,570","14,349","26,490","30,446","117,251"
001160 Ministry of Education,Contracts,On Campus,5,,,,0,0,0
001160 Ministry of Education,Total by Primary Sponsor,,5,,,,0,0,0
001163 National Laboratory for Aeronautics and Astronautics,Contracts,Off Campus,7,,"9,182","3,352","132,226","4,559","149,319"
001163 National Laboratory for Aeronautics and Astronautics,Contracts,On Campus,2,,,,"58,311",,"58,311"
001163 National Laboratory for Aeronautics and Astronautics,Total by Primary Sponsor,,9,,"9,182","3,352","190,537","4,559","207,630"
001176 Massachusetts Clean Energy Cente,Contracts,On Campus,4,0,,,0,0,0
001176 Massachusetts Clean Energy Cente,Total by Primary Sponsor,,4,0,,,0,0,0
