"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6924992","Z987701","University of","6928684","Barnett","06/01/2013","12/30/2013","","14,601","4,088","","11,307","29,997","29,997","29,997","0","6928684"
"","","Maryland -","","Supplemental","","","","","","","","","","","",""
"","","College Park","","Task: North Atlan","","","","","","","","","","","",""
"6924992","Z987701","University of","6929717","Barnett -","02/03/2014","11/30/2014","","","","","","0","29,980","0","29,980","6929717"
"","","Maryland -","","Supplemental","","","","","","","","","","","",""
"","","College Park","","Task: North Atla","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","","14,601","4,088","","11,307","29,997","59,977","29,997","29,980",""
"Supervisor: Barnhart /Cynthia","","","","","","","","","","","","","",""
"P061093","Lee-Aerofo4","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6924989","Z987501","University of","6924989","Distributed","09/01/2011","10/31/2014","24,293","5,476","1,533","17,050","19,486","67,839","287,979","159,256","128,723","6924989"
"","","Maryland -","","Mechanisms For","","","","","","","","","","","",""
"","","College Park","","Determining N","","","","","","","","","","","",""
"","","","","","","Page 1 of 31, Wednesday, September 10, 2014","","","","","","","",""
"","","","","","Primary and Secondary Volume Report by Supervisor","","","","","",""
"","","","","","Department: Aeronautics & Astronautics","","","","","","",""
"","","","","","","Fiscal Period 201412","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6924992","Z987701","University of","6924992","Analysis And","09/07/2011","11/30/2014","70,740","5,476","1,533","65,061","47,151","189,962","451,224","451,502","-278","6924992"
"","","Maryland -","","Modeling Of","","","","","","","","","","","",""
"","","College Park","","Passenger Delay","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","95,034","10,952","3,067","82,110","66,637","257,801","739,203","610,758","128,445",""
"Supervisor: Barrett /Steven R. H.","","","","","","","","","","","","",""
"P061094","Leith-Aerofo5","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6921200","09-C-NE-MI","US DOT -","6922103","Ecba Of","09/01/2010","08/31/2012","0","0","0","0","0","0","224,921","224,921","0","6922103"
"","T","Federal","","Alternative Jet","","","","","","","","","","","",""
"","","Aviation","","Fuels (P28)","","","","","","","","","","","",""
"","","Administratio","","","","","","","","","","","","","",""
"","","n","","","","","","","","","","","","","",""
"6921200","09-C-NE-MI","US DOT -","6924571","Alternative Jet","09/01/2011","08/31/2012","0","0","0","0","0","0","299,871","299,871","0","6924571"
"","T","Federal","","Fuels Dla Energy","","","","","","","","","","","",""
"","","Aviation","","Analysi","","","","","","","","","","","",""
"","","Administratio","","","","","","","","","","","","","",""
"","","n","","","","","","","","","","","","","",""
"6921200","09-C-NE-MI","US DOT -","6926336","Improving","09/01/2012","08/31/2014","44,532","26,802","7,731","38,350","50,666","168,080","281,400","241,380","40,020","6926336"
"","T","Federal","","Aviation Climate","","","","","","","","","","","",""
"","","Aviation","","Policy Analys","","","","","","","","","","","",""
"","","Administratio","","","","","","","","","","","","","",""
"","","n","","","","","","","","","","","","","",""
"6921200","09-C-NE-MI","US DOT -","6926337","Development Of","09/01/2012","08/31/2014","53,570","15,429","4,882","51,593","46,068","171,543","310,000","280,255","29,745","6926337"
"","T","Federal","","Aviationair","","","","","","","","","","","",""
"","","Aviation","","Qulatiy Asses","","","","","","","","","","","",""
"","","Administratio","","","","","","","","","","","","","",""
"","","n","","","","","","","","","","","","","",""
"6921200","09-C-NE-MI","US DOT -","6926436","Sustainablity","09/01/2012","08/31/2014","98,027","151,611","52,181","91,762","177,243","570,823","700,507","570,823","129,684","6926436"
"","T","Federal","","Assessment Of","","","","","","","","","","","",""
"","","Aviation","","Alternative","","","","","","","","","","","",""
"","","Administratio","","","","","","","","","","","","","",""
"","","n","","","","","","","","","","","","","",""
"6921200","09-C-NE-MI","US DOT -","6926472","Sustainablity","09/01/2012","08/31/2013","5,357","11,287","2,804","9,985","16,483","45,916","279,768","279,768","0","6926472"
"","T","Federal","","Assessment: Faa","","","","","","","","","","","",""
"","","Aviation","","","","","","","","","","","","","",""
"","","Administratio","","","","","","","","","","","","","",""
"","","n","","","","","","","","","","","","","",""
"","","","","","","Page 2 of 31, Wednesday, September 10, 2014","","","","","","","",""
"","","","","","Primary and Secondary Volume Report by Supervisor","","","","","",""
"","","","","","Department: Aeronautics & Astronautics","","","","","","",""
"","","","","","","Fiscal Period 201412","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6921200","09-C-NE-MI","US DOT -","6926473","Sustainability","09/01/2012","08/31/2013","0","4,517","1,649","3,430","5,373","14,969","99,839","99,839","0","6926473"
"","T","Federal","","Assessment: Afrl","","","","","","","","","","","",""
"","","Aviation","","","","","","","","","","","","","",""
"","","Administratio","","","","","","","","","","","","","",""
"","","n","","","","","","","","","","","","","",""
"6921200","09-C-NE-MI","US DOT -","6926474","Sustainablity","09/01/2012","08/31/2013","4,383","21,996","7,739","8,404","23,813","66,335","299,886","299,886","-0","6926474"
"","T","Federal","","Assessment: Dla","","","","","","","","","","","",""
"","","Aviation","","Energy","","","","","","","","","","","",""
"","","Administratio","","","","","","","","","","","","","",""
"","","n","","","","","","","","","","","","","",""
"6925043","NNX12AB2","NASA -","6925043","Realtime","11/15/2011","11/14/2014","39,324","70,740","25,093","291,051","100,791","526,998","1,131,849","921,744","210,105","6925043"
"","0A","Ames","","Assessment Of","","","","","","","","","","","",""
"","","Research","","Emissions","","","","","","","","","","","",""
"","","Center","","Impacts","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","245,193","302,381","102,079","494,575","420,436","1,564,664","3,628,041","3,218,487","409,554",""
"Supervisor: Belobaba /Peter P","","","","","","","","","","","","","",""
"P061093","Lee-Aerofo4","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6869300","MASTER","Multi-Sponso","6869300","Pods Passenger","07/01/1999","06/30/2015","52,435","19,027","6,945","69,203","52,414","200,024","3,300,000","3,064,944","235,056","6869300"
"","AGREEME","red","","Origin-Destination","","","","","","","","","","","",""
"","NT","Consortium","","Simul","","","","","","","","","","","",""
"6897842","MASTER","Multi-Sponso","6897842","Airline Industry","06/01/2005","06/30/2015","55,177","118,821","31,560","79,477","131,878","416,912","2,695,000","2,500,885","194,115","6897842"
"","AGREEME","red","","Consortium","","","","","","","","","","","",""
"","NT","Consortium","","","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","107,611","137,847","38,505","148,680","184,293","616,937","5,995,000","5,565,829","429,171",""
"Supervisor: Cahoy /Kerri","","","","","","","","","","","","","",""
"P061097","Le- Aerofo8","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6925499","AFS12-0207","Aurora Flight","6925499","Distributed","12/21/2011","05/31/2015","26,785","11,535","1,891","22,932","25,130","88,272","232,500","156,365","76,135","6925499"
"","","Sciences","","Satellite Systems","","","","","","","","","","","",""
"","","Corporation","","","","","","","","","","","","","",""
"6925546","PO","Lincoln","6925546","Micromas","02/01/2012","01/31/2014","2,664","0","0","1,539","2,564","6,767","136,929","136,929","0","6925546"
"","7000180248","Laboratory","","","","","","","","","","","","","",""
"6925546","PO","Lincoln","6925657","Micromasfm","02/01/2012","01/31/2014","","","","97,956","","97,956","283,071","283,071","0","6925657"
"","7000180248","Laboratory","","Fabricated","","","","","","","","","","","",""
"","","","","Equipment","","","","","","","","","","","",""
"","","","","","","Page 3 of 31, Wednesday, September 10, 2014","","","","","","","","",""
"","","","","","Primary and Secondary Volume Report by Supervisor","","","","","",""
"","","","","","Department: Aeronautics & Astronautics","","","","","","",""
"","","","","","","Fiscal Period 201412","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6925650","AGREEME","Inmarsat plc","6925650","Analysis Of","02/01/2012","01/31/2014","7,324","2,622","734","6,449","6,653","23,783","65,441","65,441","0","6925650"
"","NT DTD.","","","Commercial","","","","","","","","","","","",""
"","4/5/12","","","Spacecraft","","","","","","","","","","","",""
"","","","","Housek","","","","","","","","","","","",""
"6927252","FA9550-13-","Air Force","6927252","Geo Satellites As","02/15/2013","02/14/2016","20,787","30,387","10,054","31,495","44,178","136,900","240,000","148,328","91,672","6927252"
"","1-0099","Office of","","Space Weather","","","","","","","","","","","",""
"","","Scientific","","Sensors","","","","","","","","","","","",""
"","","Research -","","","","","","","","","","","","","",""
"","","AFOSR","","","","","","","","","","","","","",""
"6928592","7000249226","Lincoln","6928592","Next Generation","09/01/2013","08/31/2014","13,440","","","19,198","11,593","44,232","45,000","44,232","768","6928592"
"","","Laboratory","","Environmental","","","","","","","","","","","",""
"","","","","Monitoring","","","","","","","","","","","",""
"6928592","7000249226","Lincoln","6928727","Fabricated","09/01/2013","08/31/2014","","","","30,320","","30,320","30,000","30,320","-320","6928727"
"","","Laboratory","","Equipment: Next","","","","","","","","","","","",""
"","","","","Generation En","","","","","","","","","","","",""
"6928843","RSA NO.","CalTech -","6928843","Free Space","10/25/2013","09/28/2014","","0","0","5,264","2,948","8,211","60,000","8,211","51,789","6928843"
"","1492486","Jet","","Optical","","","","","","","","","","","",""
"","","Propulsion","","Communications","","","","","","","","","","","",""
"","","Lab","","For Sm","","","","","","","","","","","",""
"6929185","NNX14AC7","NASA -","6929185","Microwave","09/20/2013","12/19/2016","25,322","3,963","1,110","21,975","17,705","70,074","150,000","70,074","79,926","6929185"
"","5G","Goddard","","Radiometer","","","","","","","","","","","",""
"","","Space Flight","","Technology","","","","","","","","","","","",""
"","","Center","","Accelera","","","","","","","","","","","",""
"6929185","NNX14AC7","NASA -","6929461","Fabricated","12/20/2013","12/19/2016","","","","0","","0","150,000","0","150,000","6929461"
"","5G","Goddard","","Equipment:","","","","","","","","","","","",""
"","","Space Flight","","Mirata Cubesat","","","","","","","","","","","",""
"","","Center","","","","","","","","","","","","","",""
"6929185","NNX14AC7","NASA -","6929462","Subacontract To","12/20/2013","12/19/2016","","","","0","","0","140,704","0","140,704","6929462"
"","5G","Goddard","","The Aerospace","","","","","","","","","","","",""
"","","Space Flight","","Corporatio","","","","","","","","","","","",""
"","","Center","","","","","","","","","","","","","",""
"6929185","NNX14AC7","NASA -","6929463","Subacontract To","12/20/2013","12/19/2016","","","","0","","0","353,968","0","353,968","6929463"
"","5G","Goddard","","Umass Amherst","","","","","","","","","","","",""
"","","Space Flight","","","","","","","","","","","","","",""
"","","Center","","","","","","","","","","","","","",""
"6929185","NNX14AC7","NASA -","6929464","Subacontract To","12/20/2013","12/19/2016","","","","592","115","706","53,231","706","52,525","6929464"
"","5G","Goddard","","Space Dynamics","","","","","","","","","","","",""
"","","Space Flight","","Lab.","","","","","","","","","","","",""
"","","Center","","","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","96,323","48,506","13,789","237,720","110,885","507,222","1,940,844","943,677","997,166",""
"Supervisor: Crawley /Edward F","","","","","","","","","","","","","",""
"P061015","Inactive-Aero/Astro Sponsored Educ Grant","","","","","","","","","","","",""
"","","","","","","Page 4 of 31, Wednesday, September 10, 2014","","","","","","","",""
"","","","","","Primary and Secondary Volume Report by Supervisor","","","","","",""
"","","","","","Department: Aeronautics & Astronautics","","","","","","",""
"","","","","","","Fiscal Period 201412","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6896556","PROJ. ACA","BP America,","6914515","Bp Sakhalin","09/01/2006","12/31/2008","0","0","0","0","0","0","530,000","530,000","0","6914515"
"","926-4101,P","Incorporated","","Systems","","","","","","","","","","","",""
"","AY KEY","","","Architecture","","","","","","","","","","","",""
"","","","","Analysi","","","","","","","","","","","",""
"P061093","Lee-Aerofo4","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"2744719","AGREEME","NP Org","6926113","Exploration","07/01/2012","06/30/2014","8,203","13,705","3,673","5,226","12,385","43,191","500,000","293,759","206,241","6926113"
"","NT DATED","Fund for","","Architectures And","","","","","","","","","","","",""
"","10/26/11","Dev of","","Technologi","","","","","","","","","","","",""
"","","Center for","","","","","","","","","","","","","",""
"","","Elab &","","","","","","","","","","","","","",""
"","","Comm of","","","","","","","","","","","","","",""
"","","New Tech","","","","","","","","","","","","","",""
"2744719","AGREEME","NP Org","6926569","Tylor Hess Univ","09/01/2012","08/31/2013","9,506","9,017","3,291","2,225","12,216","36,255","100,000","100,000","0","6926569"
"","NT DATED","Fund for","","Ctred Econ Eng","","","","","","","","","","","",""
"","10/26/11","Dev of","","","","","","","","","","","","","",""
"","","Center for","","","","","","","","","","","","","",""
"","","Elab &","","","","","","","","","","","","","",""
"","","Comm of","","","","","","","","","","","","","",""
"","","New Tech","","","","","","","","","","","","","",""
"6896556","PROJ. ACA","BP America,","6919068","Integrated","01/01/2009","12/31/2010","0","0","0","0","0","0","365,868","365,868","-0","6919068"
"","926-4101,P","Incorporated","","Socio-Technical","","","","","","","","","","","",""
"","AY KEY","","","Framework For","","","","","","","","","","","",""
"6923905","LETTER","Florida","6923906","Smart Energy","08/01/2010","07/31/2013","","3,709","1,085","-0","3,236","8,030","250,000","250,000","-0","6923906"
"","DTD","Power and","","Grid Associates","","","","","","","","","","","",""
"","5/16/11","Light","","Partnership","","","","","","","","","","","",""
"","","Company","","","","","","","","","","","","","",""
"6924723","NNX11AR7","NASA -","6924723","Comprehensive","06/08/2011","12/31/2013","7,390","8,124","2,965","10,629","14,928","44,036","474,997","474,997","0","6924723"
"","0G","Goddard","","Systems","","","","","","","","","","","",""
"","","Space Flight","","Architecting Of Ex","","","","","","","","","","","",""
"","","Center","","","","","","","","","","","","","",""
"6929366","NNX14AD9","NASA -","6929366","Comprehensive","11/01/2013","09/30/2014","24,333","25,107","9,164","36,853","40,695","136,152","175,000","136,152","38,848","6929366"
"","7G","Goddard","","Systems","","","","","","","","","","","",""
"","","Space Flight","","Architecting Of Ex","","","","","","","","","","","",""
"","","Center","","","","","","","","","","","","","",""
"","","","","Supervisor Total:","","49,432","59,662","20,178","54,933","83,460","267,664","2,395,865","2,150,776","245,089",""
"Supervisor: Cummings /Mary L","","","","","","","","","","","","","",""
"P061090","Hu-Aerofo1","","","","","","","","","","","","","",""
"","","","","","","Page 5 of 31, Wednesday, September 10, 2014","","","","","","","",""
"","","","","","Primary and Secondary Volume Report by Supervisor","","","","","",""
"","","","","","Department: Aeronautics & Astronautics","","","","","","",""
"","","","","","","Fiscal Period 201412","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6897472","MIT-BA-GT","Boeing","6897472","Team","03/01/2005","08/31/2014","0","0","0","0","0","0","1,381,012","1,381,006","6","6897472"
"","A-1","Phantom","","Supervisory","","","","","","","","","","","",""
"","","Works","","Decision Support","","","","","","","","","","","",""
"","","","","In Com","","","","","","","","","","","",""
"6897472","MIT-BA-GT","Boeing","6921792","Fabricated","03/01/2009","11/30/2011","","","","0","","0","13,988","13,988","0","6921792"
"","A-1","Phantom","","Equipment -","","","","","","","","","","","",""
"","","Works","","Boeing Mavomlu","","","","","","","","","","","",""
"6897472","MIT-BA-GT","Boeing","6925184","Human","01/01/2012","08/31/2014","32,075","58,727","4,992","33,364","31,298","160,455","530,000","343,037","186,963","6925184"
"","A-1","Phantom","","Automation","","","","","","","","","","","",""
"","","Works","","Collaboration In","","","","","","","","","","","",""
"","","","","Superv","","","","","","","","","","","",""
"6929380","PO","Lincoln","6929380","Test Subject","06/01/2013","12/31/2014","","","","2,715","1,520","4,235","5,304","4,235","1,069","6929380"
"","7000251167","Laboratory","","Support","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","32,075","58,727","4,992","36,079","32,818","164,691","1,930,304","1,742,266","188,038",""
"Supervisor: Darmofal /David L","","","","","","","","","","","","","",""
"P061093","Lee-Aerofo4","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"2744719","AGREEME","NP Org","6926066","Darmofal -","06/01/2012","12/31/2014","","0","0","","0","0","20,686","20,686","-0","6926066"
"","NT DATED","Fund for","","Comprehensive","","","","","","","","","","","",""
"","10/26/11","Dev of","","Computational E","","","","","","","","","","","",""
"","","Center for","","","","","","","","","","","","","",""
"","","Elab &","","","","","","","","","","","","","",""
"","","Comm of","","","","","","","","","","","","","",""
"","","New Tech","","","","","","","","","","","","","",""
"6897743","MIT-BA-GT","Boeing","6897743","Automated High","05/01/2005","05/31/2016","34,548","56,406","18,756","34,324","35,464","179,498","1,696,451","1,358,922","337,529","6897743"
"","A-1","","","Fidelity Cfd","","","","","","","","","","","",""
"","","","","Simulation","","","","","","","","","","","",""
"6925981","NNX12AJ75","NASA -","6925981","Higher-Order","08/03/2012","08/02/2015","21,152","49,833","15,094","8,271","34,008","128,358","317,482","257,383","60,099","6925981"
"","A","Langley","","Space-Time","","","","","","","","","","","",""
"","","Research","","Adaptive Methods","","","","","","","","","","","",""
"","","Center","","","","","","","","","","","","","",""
"6925981","NNX12AJ75","NASA -","6926122","Pre-Award","07/01/2012","08/02/2012","","0","0","","0","0","8,378","8,378","0","6926122"
"","A","Langley","","Expenses","","","","","","","","","","","",""
"","","Research","","","","","","","","","","","","","",""
"","","Center","","","","","","","","","","","","","",""
"6927658","PURCHASE","Boeing","6927658","Revolutionary","09/28/2012","11/22/2013","","3,472","868","10,247","5,934","20,521","35,300","35,300","-0","6927658"
"","CONTRACT","Research &","","Computational","","","","","","","","","","","",""
"","NO. 76920","Technology","","Aerosciences","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","55,700","109,710","34,718","52,843","75,405","328,376","2,078,298","1,680,669","397,628",""
"","","","","","","Page 6 of 31, Wednesday, September 10, 2014","","","","","","","",""
"","","","","","Primary and Secondary Volume Report by Supervisor","","","","","",""
"","","","","","Department: Aeronautics & Astronautics","","","","","","",""
"","","","","","","Fiscal Period 201412","","","","","","","",""
"Supervisor: de Weck /Olivier L","","","","","","","","","","","","","",""
"P061090","Hu-Aerofo1","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"2744719","AGREEME","NP Org","6927729","Fdp Joint","04/15/2013","04/30/2014","59,949","45,754","15,418","56,603","70,602","248,326","250,000","252,125","-2,125","6927729"
"","NT DATED","Fund for","","Research Project","","","","","","","","","","","",""
"","10/26/11","Dev of","","Golkar","","","","","","","","","","","",""
"","","Center for","","","","","","","","","","","","","",""
"","","Elab &","","","","","","","","","","","","","",""
"","","Comm of","","","","","","","","","","","","","",""
"","","New Tech","","","","","","","","","","","","","",""
"6896556","PROJ. ACA","BP America,","6919067","Management Of","01/01/2009","03/31/2011","0","0","0","0","0","0","278,978","278,978","0","6919067"
"","926-4101,P","Incorporated","","Change In","","","","","","","","","","","",""
"","AY KEY","","","Complex Oil And","","","","","","","","","","","",""
"6925860","AGMT DTD","Valador, Inc.","6925860","Nasa Innovative","03/28/2012","10/31/2013","2,664","0","0","4,434","2,840","9,938","76,464","76,464","0","6925860"
"","3/28/12","","","Mars Habitat","","","","","","","","","","","",""
"","","","","Design Conc","","","","","","","","","","","",""
"6926452","VU-DSR","Vanderbilt","6926452","Model-Based","07/13/2012","01/12/2014","9,740","0","0","8,015","7,249","25,004","199,375","199,375","0","6926452"
"","#22666-S3","University","","Amphibious","","","","","","","","","","","",""
"","","","","Racing Challenge","","","","","","","","","","","",""
"6929205","MIT-CJ60D","Valador, Inc.","6929205","Nasa Innovative","08/15/2013","02/28/2014","5,156","","","4,859","2,888","12,902","12,902","12,902","0","6929205"
"","","","","Mars Habitat","","","","","","","","","","","",""
"","","","","Design Conc","","","","","","","","","","","",""
"6929371","PO NO.","Draper","6929371","Design And","01/16/2014","05/31/2014","11,988","","","10,803","6,713","29,504","29,504","29,504","0","6929371"
"","SC001-794","Laboratory","","Optimization Of","","","","","","","","","","","",""
"","","Incorporated","","Satellite Con","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","89,497","45,754","15,418","84,713","90,291","325,675","847,224","849,348","-2,125",""
"Supervisor: Drela /Mark","","","","","","","","","","","","","",""
"P061093","Lee-Aerofo4","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6922032","MIT-BA-GT","Boeing","6922032","3D Boundary","06/01/2010","12/31/2013","0","36,569","10,239","6,976","30,119","83,903","319,047","319,047","0","6922032"
"","A-1","","","Layer Modeling","","","","","","","","","","","",""
"","","","","And Calculati","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","0","36,569","10,239","6,976","30,119","83,903","319,047","319,047","0",""
"Supervisor: Greitzer /Edward M","","","","","","","","","","","","","",""
"P061097","Le- Aerofo8","","","","","","","","","","","","","",""
"","","","","","","Page 7 of 31, Wednesday, September 10, 2014","","","","","","","",""
"","","","","","Primary and Secondary Volume Report by Supervisor","","","","","",""
"","","","","","Department: Aeronautics & Astronautics","","","","","","",""
